Title,Price,Ad URL,Local Folder
"2-к. квартира, 45,5 м², 6/9 эт.",7 199 000 ₽,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_455_m_69_et._3795900323,"dataset_images/2-к. квартира, 45,5 м², 6-9 эт."
"2-к. квартира, 69,7 м², 1/3 эт.",4 300 000 ₽,https://www.avito.ru/bolshie_kolpany/kvartiry/2-k._kvartira_697_m_13_et._3822182772,"dataset_images/2-к. квартира, 69,7 м², 1-3 эт."
"3-к. квартира, 60,2 м², 6/9 эт.",7 400 000 ₽,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_602_m_69_et._3402530195,"dataset_images/3-к. квартира, 60,2 м², 6-9 эт."
"Квартира-студия, 19,5 м², 2/4 эт.",5 550 000 ₽,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_195_m_24_et._3661569915,"dataset_images/Квартира-студия, 19,5 м², 2-4 эт."
"3-к. квартира, 60 м², 5/9 эт.",9 390 000 ₽,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_60_m_59_et._3748786829,"dataset_images/3-к. квартира, 60 м², 5-9 эт."
"1-к. квартира, 38,3 м², 4/12 эт.",5 830 000 ₽,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_383_m_412_et._3643105007,"dataset_images/1-к. квартира, 38,3 м², 4-12 эт."
"1-к. квартира, 35 м², 9/14 эт.",7 300 000 ₽,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_35_m_914_et._3948036089,"dataset_images/1-к. квартира, 35 м², 9-14 эт."
"1-к. квартира, 37,1 м², 1/18 эт.",7 000 000 ₽,https://www.avito.ru/murino/kvartiry/1-k._kvartira_371_m_118_et._2632534102,"dataset_images/1-к. квартира, 37,1 м², 1-18 эт."
"3-к. квартира, 97 м², 6/9 эт.",11 300 000 ₽,https://www.avito.ru/yanino-1/kvartiry/3-k._kvartira_97_m_69_et._3549593603,"dataset_images/3-к. квартира, 97 м², 6-9 эт."
"1-к. квартира, 32,1 м², 1/5 эт.",4 300 000 ₽,https://www.avito.ru/gatchina/kvartiry/1-k._kvartira_321_m_15_et._3714876360,"dataset_images/1-к. квартира, 32,1 м², 1-5 эт."
"1-к. квартира, 31,7 м², 9/12 эт.",6 400 000 ₽,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_317_m_912_et._3835017714,"dataset_images/1-к. квартира, 31,7 м², 9-12 эт."
"Квартира-студия, 25 м², 10/23 эт.",5 250 000 ₽,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_25_m_1023_et._4194191685,"dataset_images/Квартира-студия, 25 м², 10-23 эт."
"1-к. квартира, 33 м², 2/14 эт.",6 800 000 ₽,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_33_m_214_et._3672788584,"dataset_images/1-к. квартира, 33 м², 2-14 эт."
"1-к. квартира, 30 м², 2/9 эт.",7 199 000 ₽,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_30_m_29_et._3614498932,"dataset_images/1-к. квартира, 30 м², 2-9 эт."
"2-к. квартира, 51,3 м², 7/9 эт.",6 300 000 ₽,https://www.avito.ru/leningradskaya_oblast_sosnovyy_bor/kvartiry/2-k._kvartira_513_m_79_et._3758910835,"dataset_images/2-к. квартира, 51,3 м², 7-9 эт."
"1-к. квартира, 33,2 м², 2/9 эт.",5 800 000 ₽,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_332_m_29_et._3977669240,"dataset_images/1-к. квартира, 33,2 м², 2-9 эт."
"2-к. квартира, 47 м², 1/5 эт.",7 300 000 ₽,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_47_m_15_et._3491712875,"dataset_images/2-к. квартира, 47 м², 1-5 эт."
"Квартира-студия, 30,5 м², 5/19 эт.",5 690 000 ₽,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_305_m_519_et._3619216355,"dataset_images/Квартира-студия, 30,5 м², 5-19 эт."
"1-к. квартира, 38,9 м², 8/22 эт.",5 200 000 ₽,https://www.avito.ru/novoe_devyatkino/kvartiry/1-k._kvartira_389_m_822_et._3124207392,"dataset_images/1-к. квартира, 38,9 м², 8-22 эт."
